product,semantic_group,label,score,manual_score
桌子,"And as you can seebehind me, there's a desk fully loadedwith everything., And if you're comingfrom my last video where I did my wholedesk setup cuz I was building it, I toldyou guys I was going to build a PC aswell., Um, Ijust would like to say the last video Iposted about my desk was about 4 monthsago., However, yes, there is afully loaded desk behind me., I would say personally for me, mydesk setup is a budget friendly desksetup., Now, when you find out the pricethat I pay for everything, you may notsay that it's a a budget friendly desksetup, but everything that I got was notall at once., I literally got my deskback in November., Every time I would try to buysomething for my desk, I would alwaysmake sure it's the cheapest option., Without furtherado, come closer and let's go get intothe desk tour., Now, if we gocloser, this part came with the deskthat I built., I might take this out justbecause it makes my desk feel a littlebit smaller than it is., Like if I put itright here, it may look a little bitnicer, but my desk feels smaller., I saw everyone on TikTok who had a cute little desk setuphave this speaker, I'm messing up my desk setup for youguys., Here comes thelast few sections of my desk., I like to keep my desk clearbecause, You willnever catch me at my desk without usingmy foot stool., I cannot and will not sitat my desk if there's nothing to hold myfoot., Okay, so we're back and that'severything that's on my desk., I swear toyou, I don't think I missed everythingthat's on my desk., The rest of my desk,I turned this into like a bookish shelfor whatever., Ifyou liked my desk tour and you want tosee more about me talking about my deskor my PC, if you want me to break downevery single thing that I got, cuz Iwill., And it'ssitting on my on my desk., Comment down below what you loved aboutmy desk or let me know if there'sanything else I could add., I feel likemy desk is pretty bland., I did forget toshow you that I have these um leaves upabove my desk.",Immersion,0.14,-1
桌子,"And as you can seebehind me, there's a desk fully loadedwith everything., And if you're comingfrom my last video where I did my wholedesk setup cuz I was building it, I toldyou guys I was going to build a PC aswell., Um, Ijust would like to say the last video Iposted about my desk was about 4 monthsago., However, yes, there is afully loaded desk behind me., I would say personally for me, mydesk setup is a budget friendly desksetup., Now, when you find out the pricethat I pay for everything, you may notsay that it's a a budget friendly desksetup, but everything that I got was notall at once., I literally got my deskback in November., Every time I would try to buysomething for my desk, I would alwaysmake sure it's the cheapest option., Without furtherado, come closer and let's go get intothe desk tour., Now, if we gocloser, this part came with the deskthat I built., I might take this out justbecause it makes my desk feel a littlebit smaller than it is., Like if I put itright here, it may look a little bitnicer, but my desk feels smaller., I saw everyone on TikTok who had a cute little desk setuphave this speaker, I'm messing up my desk setup for youguys., Here comes thelast few sections of my desk., I like to keep my desk clearbecause, You willnever catch me at my desk without usingmy foot stool., I cannot and will not sitat my desk if there's nothing to hold myfoot., Okay, so we're back and that'severything that's on my desk., I swear toyou, I don't think I missed everythingthat's on my desk., The rest of my desk,I turned this into like a bookish shelfor whatever., Ifyou liked my desk tour and you want tosee more about me talking about my deskor my PC, if you want me to break downevery single thing that I got, cuz Iwill., And it'ssitting on my on my desk., Comment down below what you loved aboutmy desk or let me know if there'sanything else I could add., I feel likemy desk is pretty bland., I did forget toshow you that I have these um leaves upabove my desk.",Entertainment,0.22,0
桌子,"And as you can seebehind me, there's a desk fully loadedwith everything., And if you're comingfrom my last video where I did my wholedesk setup cuz I was building it, I toldyou guys I was going to build a PC aswell., Um, Ijust would like to say the last video Iposted about my desk was about 4 monthsago., However, yes, there is afully loaded desk behind me., I would say personally for me, mydesk setup is a budget friendly desksetup., Now, when you find out the pricethat I pay for everything, you may notsay that it's a a budget friendly desksetup, but everything that I got was notall at once., I literally got my deskback in November., Every time I would try to buysomething for my desk, I would alwaysmake sure it's the cheapest option., Without furtherado, come closer and let's go get intothe desk tour., Now, if we gocloser, this part came with the deskthat I built., I might take this out justbecause it makes my desk feel a littlebit smaller than it is., Like if I put itright here, it may look a little bitnicer, but my desk feels smaller., I saw everyone on TikTok who had a cute little desk setuphave this speaker, I'm messing up my desk setup for youguys., Here comes thelast few sections of my desk., I like to keep my desk clearbecause, You willnever catch me at my desk without usingmy foot stool., I cannot and will not sitat my desk if there's nothing to hold myfoot., Okay, so we're back and that'severything that's on my desk., I swear toyou, I don't think I missed everythingthat's on my desk., The rest of my desk,I turned this into like a bookish shelfor whatever., Ifyou liked my desk tour and you want tosee more about me talking about my deskor my PC, if you want me to break downevery single thing that I got, cuz Iwill., And it'ssitting on my on my desk., Comment down below what you loved aboutmy desk or let me know if there'sanything else I could add., I feel likemy desk is pretty bland., I did forget toshow you that I have these um leaves upabove my desk.",Order,0.22,-1
桌子,"And as you can seebehind me, there's a desk fully loadedwith everything., And if you're comingfrom my last video where I did my wholedesk setup cuz I was building it, I toldyou guys I was going to build a PC aswell., Um, Ijust would like to say the last video Iposted about my desk was about 4 monthsago., However, yes, there is afully loaded desk behind me., I would say personally for me, mydesk setup is a budget friendly desksetup., Now, when you find out the pricethat I pay for everything, you may notsay that it's a a budget friendly desksetup, but everything that I got was notall at once., I literally got my deskback in November., Every time I would try to buysomething for my desk, I would alwaysmake sure it's the cheapest option., Without furtherado, come closer and let's go get intothe desk tour., Now, if we gocloser, this part came with the deskthat I built., I might take this out justbecause it makes my desk feel a littlebit smaller than it is., Like if I put itright here, it may look a little bitnicer, but my desk feels smaller., I saw everyone on TikTok who had a cute little desk setuphave this speaker, I'm messing up my desk setup for youguys., Here comes thelast few sections of my desk., I like to keep my desk clearbecause, You willnever catch me at my desk without usingmy foot stool., I cannot and will not sitat my desk if there's nothing to hold myfoot., Okay, so we're back and that'severything that's on my desk., I swear toyou, I don't think I missed everythingthat's on my desk., The rest of my desk,I turned this into like a bookish shelfor whatever., Ifyou liked my desk tour and you want tosee more about me talking about my deskor my PC, if you want me to break downevery single thing that I got, cuz Iwill., And it'ssitting on my on my desk., Comment down below what you loved aboutmy desk or let me know if there'sanything else I could add., I feel likemy desk is pretty bland., I did forget toshow you that I have these um leaves upabove my desk.",Sociability,0.09,-1
桌子,"And as you can seebehind me, there's a desk fully loadedwith everything., And if you're comingfrom my last video where I did my wholedesk setup cuz I was building it, I toldyou guys I was going to build a PC aswell., Um, Ijust would like to say the last video Iposted about my desk was about 4 monthsago., However, yes, there is afully loaded desk behind me., I would say personally for me, mydesk setup is a budget friendly desksetup., Now, when you find out the pricethat I pay for everything, you may notsay that it's a a budget friendly desksetup, but everything that I got was notall at once., I literally got my deskback in November., Every time I would try to buysomething for my desk, I would alwaysmake sure it's the cheapest option., Without furtherado, come closer and let's go get intothe desk tour., Now, if we gocloser, this part came with the deskthat I built., I might take this out justbecause it makes my desk feel a littlebit smaller than it is., Like if I put itright here, it may look a little bitnicer, but my desk feels smaller., I saw everyone on TikTok who had a cute little desk setuphave this speaker, I'm messing up my desk setup for youguys., Here comes thelast few sections of my desk., I like to keep my desk clearbecause, You willnever catch me at my desk without usingmy foot stool., I cannot and will not sitat my desk if there's nothing to hold myfoot., Okay, so we're back and that'severything that's on my desk., I swear toyou, I don't think I missed everythingthat's on my desk., The rest of my desk,I turned this into like a bookish shelfor whatever., Ifyou liked my desk tour and you want tosee more about me talking about my deskor my PC, if you want me to break downevery single thing that I got, cuz Iwill., And it'ssitting on my on my desk., Comment down below what you loved aboutmy desk or let me know if there'sanything else I could add., I feel likemy desk is pretty bland., I did forget toshow you that I have these um leaves upabove my desk.",Aesthetics,0.09,0
桌子,"And as you can seebehind me, there's a desk fully loadedwith everything., And if you're comingfrom my last video where I did my wholedesk setup cuz I was building it, I toldyou guys I was going to build a PC aswell., Um, Ijust would like to say the last video Iposted about my desk was about 4 monthsago., However, yes, there is afully loaded desk behind me., I would say personally for me, mydesk setup is a budget friendly desksetup., Now, when you find out the pricethat I pay for everything, you may notsay that it's a a budget friendly desksetup, but everything that I got was notall at once., I literally got my deskback in November., Every time I would try to buysomething for my desk, I would alwaysmake sure it's the cheapest option., Without furtherado, come closer and let's go get intothe desk tour., Now, if we gocloser, this part came with the deskthat I built., I might take this out justbecause it makes my desk feel a littlebit smaller than it is., Like if I put itright here, it may look a little bitnicer, but my desk feels smaller., I saw everyone on TikTok who had a cute little desk setuphave this speaker, I'm messing up my desk setup for youguys., Here comes thelast few sections of my desk., I like to keep my desk clearbecause, You willnever catch me at my desk without usingmy foot stool., I cannot and will not sitat my desk if there's nothing to hold myfoot., Okay, so we're back and that'severything that's on my desk., I swear toyou, I don't think I missed everythingthat's on my desk., The rest of my desk,I turned this into like a bookish shelfor whatever., Ifyou liked my desk tour and you want tosee more about me talking about my deskor my PC, if you want me to break downevery single thing that I got, cuz Iwill., And it'ssitting on my on my desk., Comment down below what you loved aboutmy desk or let me know if there'sanything else I could add., I feel likemy desk is pretty bland., I did forget toshow you that I have these um leaves upabove my desk.",Self-Expression,0.16,-1
桌子,"And as you can seebehind me, there's a desk fully loadedwith everything., And if you're comingfrom my last video where I did my wholedesk setup cuz I was building it, I toldyou guys I was going to build a PC aswell., Um, Ijust would like to say the last video Iposted about my desk was about 4 monthsago., However, yes, there is afully loaded desk behind me., I would say personally for me, mydesk setup is a budget friendly desksetup., Now, when you find out the pricethat I pay for everything, you may notsay that it's a a budget friendly desksetup, but everything that I got was notall at once., I literally got my deskback in November., Every time I would try to buysomething for my desk, I would alwaysmake sure it's the cheapest option., Without furtherado, come closer and let's go get intothe desk tour., Now, if we gocloser, this part came with the deskthat I built., I might take this out justbecause it makes my desk feel a littlebit smaller than it is., Like if I put itright here, it may look a little bitnicer, but my desk feels smaller., I saw everyone on TikTok who had a cute little desk setuphave this speaker, I'm messing up my desk setup for youguys., Here comes thelast few sections of my desk., I like to keep my desk clearbecause, You willnever catch me at my desk without usingmy foot stool., I cannot and will not sitat my desk if there's nothing to hold myfoot., Okay, so we're back and that'severything that's on my desk., I swear toyou, I don't think I missed everythingthat's on my desk., The rest of my desk,I turned this into like a bookish shelfor whatever., Ifyou liked my desk tour and you want tosee more about me talking about my deskor my PC, if you want me to break downevery single thing that I got, cuz Iwill., And it'ssitting on my on my desk., Comment down below what you loved aboutmy desk or let me know if there'sanything else I could add., I feel likemy desk is pretty bland., I did forget toshow you that I have these um leaves upabove my desk.",Safety,0.05,0
桌子,"And as you can seebehind me, there's a desk fully loadedwith everything., And if you're comingfrom my last video where I did my wholedesk setup cuz I was building it, I toldyou guys I was going to build a PC aswell., Um, Ijust would like to say the last video Iposted about my desk was about 4 monthsago., However, yes, there is afully loaded desk behind me., I would say personally for me, mydesk setup is a budget friendly desksetup., Now, when you find out the pricethat I pay for everything, you may notsay that it's a a budget friendly desksetup, but everything that I got was notall at once., I literally got my deskback in November., Every time I would try to buysomething for my desk, I would alwaysmake sure it's the cheapest option., Without furtherado, come closer and let's go get intothe desk tour., Now, if we gocloser, this part came with the deskthat I built., I might take this out justbecause it makes my desk feel a littlebit smaller than it is., Like if I put itright here, it may look a little bitnicer, but my desk feels smaller., I saw everyone on TikTok who had a cute little desk setuphave this speaker, I'm messing up my desk setup for youguys., Here comes thelast few sections of my desk., I like to keep my desk clearbecause, You willnever catch me at my desk without usingmy foot stool., I cannot and will not sitat my desk if there's nothing to hold myfoot., Okay, so we're back and that'severything that's on my desk., I swear toyou, I don't think I missed everythingthat's on my desk., The rest of my desk,I turned this into like a bookish shelfor whatever., Ifyou liked my desk tour and you want tosee more about me talking about my deskor my PC, if you want me to break downevery single thing that I got, cuz Iwill., And it'ssitting on my on my desk., Comment down below what you loved aboutmy desk or let me know if there'sanything else I could add., I feel likemy desk is pretty bland., I did forget toshow you that I have these um leaves upabove my desk.",Efficiency,0.23,1
桌子,"And as you can seebehind me, there's a desk fully loadedwith everything., And if you're comingfrom my last video where I did my wholedesk setup cuz I was building it, I toldyou guys I was going to build a PC aswell., Um, Ijust would like to say the last video Iposted about my desk was about 4 monthsago., However, yes, there is afully loaded desk behind me., I would say personally for me, mydesk setup is a budget friendly desksetup., Now, when you find out the pricethat I pay for everything, you may notsay that it's a a budget friendly desksetup, but everything that I got was notall at once., I literally got my deskback in November., Every time I would try to buysomething for my desk, I would alwaysmake sure it's the cheapest option., Without furtherado, come closer and let's go get intothe desk tour., Now, if we gocloser, this part came with the deskthat I built., I might take this out justbecause it makes my desk feel a littlebit smaller than it is., Like if I put itright here, it may look a little bitnicer, but my desk feels smaller., I saw everyone on TikTok who had a cute little desk setuphave this speaker, I'm messing up my desk setup for youguys., Here comes thelast few sections of my desk., I like to keep my desk clearbecause, You willnever catch me at my desk without usingmy foot stool., I cannot and will not sitat my desk if there's nothing to hold myfoot., Okay, so we're back and that'severything that's on my desk., I swear toyou, I don't think I missed everythingthat's on my desk., The rest of my desk,I turned this into like a bookish shelfor whatever., Ifyou liked my desk tour and you want tosee more about me talking about my deskor my PC, if you want me to break downevery single thing that I got, cuz Iwill., And it'ssitting on my on my desk., Comment down below what you loved aboutmy desk or let me know if there'sanything else I could add., I feel likemy desk is pretty bland., I did forget toshow you that I have these um leaves upabove my desk.",Relaxation,0.04,-1
桌子,"And as you can seebehind me, there's a desk fully loadedwith everything., And if you're comingfrom my last video where I did my wholedesk setup cuz I was building it, I toldyou guys I was going to build a PC aswell., Um, Ijust would like to say the last video Iposted about my desk was about 4 monthsago., However, yes, there is afully loaded desk behind me., I would say personally for me, mydesk setup is a budget friendly desksetup., Now, when you find out the pricethat I pay for everything, you may notsay that it's a a budget friendly desksetup, but everything that I got was notall at once., I literally got my deskback in November., Every time I would try to buysomething for my desk, I would alwaysmake sure it's the cheapest option., Without furtherado, come closer and let's go get intothe desk tour., Now, if we gocloser, this part came with the deskthat I built., I might take this out justbecause it makes my desk feel a littlebit smaller than it is., Like if I put itright here, it may look a little bitnicer, but my desk feels smaller., I saw everyone on TikTok who had a cute little desk setuphave this speaker, I'm messing up my desk setup for youguys., Here comes thelast few sections of my desk., I like to keep my desk clearbecause, You willnever catch me at my desk without usingmy foot stool., I cannot and will not sitat my desk if there's nothing to hold myfoot., Okay, so we're back and that'severything that's on my desk., I swear toyou, I don't think I missed everythingthat's on my desk., The rest of my desk,I turned this into like a bookish shelfor whatever., Ifyou liked my desk tour and you want tosee more about me talking about my deskor my PC, if you want me to break downevery single thing that I got, cuz Iwill., And it'ssitting on my on my desk., Comment down below what you loved aboutmy desk or let me know if there'sanything else I could add., I feel likemy desk is pretty bland., I did forget toshow you that I have these um leaves upabove my desk.",Ritual,0.16,0
