product,semantic_group,label,score,manual_score
桌子,it doesn't matter there's justopen space now on my desk and I'mabsolutely loving it and it looks 10times better since I have a wall mountedPC the PC stand right here I just turnedinto like a little storage area for myVR if you're looking for an upgrade thisdesk is the way to go you can change thedirection of the L you can make one sidesmaller one side larger if you'd like toyou can move where this goes and thisgoes it's totally customizable it hasinstructions for you whenever you do itthink it's an upgrade or a downgrade Ihonestly think it's a huge update frommy last setup if you guys are interestedin this desk they do have multipdifferent colors so make sure you gocheck it out let me know how you like itdown,Immersion,0.1556,1
桌子,it doesn't matter there's justopen space now on my desk and I'mabsolutely loving it and it looks 10times better since I have a wall mountedPC the PC stand right here I just turnedinto like a little storage area for myVR if you're looking for an upgrade thisdesk is the way to go you can change thedirection of the L you can make one sidesmaller one side larger if you'd like toyou can move where this goes and thisgoes it's totally customizable it hasinstructions for you whenever you do itthink it's an upgrade or a downgrade Ihonestly think it's a huge update frommy last setup if you guys are interestedin this desk they do have multipdifferent colors so make sure you gocheck it out let me know how you like itdown,Entertainment,0.233,1
桌子,it doesn't matter there's justopen space now on my desk and I'mabsolutely loving it and it looks 10times better since I have a wall mountedPC the PC stand right here I just turnedinto like a little storage area for myVR if you're looking for an upgrade thisdesk is the way to go you can change thedirection of the L you can make one sidesmaller one side larger if you'd like toyou can move where this goes and thisgoes it's totally customizable it hasinstructions for you whenever you do itthink it's an upgrade or a downgrade Ihonestly think it's a huge update frommy last setup if you guys are interestedin this desk they do have multipdifferent colors so make sure you gocheck it out let me know how you like itdown,Order,0.2319,1
桌子,it doesn't matter there's justopen space now on my desk and I'mabsolutely loving it and it looks 10times better since I have a wall mountedPC the PC stand right here I just turnedinto like a little storage area for myVR if you're looking for an upgrade thisdesk is the way to go you can change thedirection of the L you can make one sidesmaller one side larger if you'd like toyou can move where this goes and thisgoes it's totally customizable it hasinstructions for you whenever you do itthink it's an upgrade or a downgrade Ihonestly think it's a huge update frommy last setup if you guys are interestedin this desk they do have multipdifferent colors so make sure you gocheck it out let me know how you like itdown,Sociability,0.1484,1
桌子,it doesn't matter there's justopen space now on my desk and I'mabsolutely loving it and it looks 10times better since I have a wall mountedPC the PC stand right here I just turnedinto like a little storage area for myVR if you're looking for an upgrade thisdesk is the way to go you can change thedirection of the L you can make one sidesmaller one side larger if you'd like toyou can move where this goes and thisgoes it's totally customizable it hasinstructions for you whenever you do itthink it's an upgrade or a downgrade Ihonestly think it's a huge update frommy last setup if you guys are interestedin this desk they do have multipdifferent colors so make sure you gocheck it out let me know how you like itdown,Aesthetics,0.2435,1
桌子,it doesn't matter there's justopen space now on my desk and I'mabsolutely loving it and it looks 10times better since I have a wall mountedPC the PC stand right here I just turnedinto like a little storage area for myVR if you're looking for an upgrade thisdesk is the way to go you can change thedirection of the L you can make one sidesmaller one side larger if you'd like toyou can move where this goes and thisgoes it's totally customizable it hasinstructions for you whenever you do itthink it's an upgrade or a downgrade Ihonestly think it's a huge update frommy last setup if you guys are interestedin this desk they do have multipdifferent colors so make sure you gocheck it out let me know how you like itdown,Self-Expression,0.2565,1
桌子,it doesn't matter there's justopen space now on my desk and I'mabsolutely loving it and it looks 10times better since I have a wall mountedPC the PC stand right here I just turnedinto like a little storage area for myVR if you're looking for an upgrade thisdesk is the way to go you can change thedirection of the L you can make one sidesmaller one side larger if you'd like toyou can move where this goes and thisgoes it's totally customizable it hasinstructions for you whenever you do itthink it's an upgrade or a downgrade Ihonestly think it's a huge update frommy last setup if you guys are interestedin this desk they do have multipdifferent colors so make sure you gocheck it out let me know how you like itdown,Safety,0.158,1
桌子,it doesn't matter there's justopen space now on my desk and I'mabsolutely loving it and it looks 10times better since I have a wall mountedPC the PC stand right here I just turnedinto like a little storage area for myVR if you're looking for an upgrade thisdesk is the way to go you can change thedirection of the L you can make one sidesmaller one side larger if you'd like toyou can move where this goes and thisgoes it's totally customizable it hasinstructions for you whenever you do itthink it's an upgrade or a downgrade Ihonestly think it's a huge update frommy last setup if you guys are interestedin this desk they do have multipdifferent colors so make sure you gocheck it out let me know how you like itdown,Efficiency,0.1695,1
桌子,it doesn't matter there's justopen space now on my desk and I'mabsolutely loving it and it looks 10times better since I have a wall mountedPC the PC stand right here I just turnedinto like a little storage area for myVR if you're looking for an upgrade thisdesk is the way to go you can change thedirection of the L you can make one sidesmaller one side larger if you'd like toyou can move where this goes and thisgoes it's totally customizable it hasinstructions for you whenever you do itthink it's an upgrade or a downgrade Ihonestly think it's a huge update frommy last setup if you guys are interestedin this desk they do have multipdifferent colors so make sure you gocheck it out let me know how you like itdown,Relaxation,0.0646,1
桌子,it doesn't matter there's justopen space now on my desk and I'mabsolutely loving it and it looks 10times better since I have a wall mountedPC the PC stand right here I just turnedinto like a little storage area for myVR if you're looking for an upgrade thisdesk is the way to go you can change thedirection of the L you can make one sidesmaller one side larger if you'd like toyou can move where this goes and thisgoes it's totally customizable it hasinstructions for you whenever you do itthink it's an upgrade or a downgrade Ihonestly think it's a huge update frommy last setup if you guys are interestedin this desk they do have multipdifferent colors so make sure you gocheck it out let me know how you like itdown,Ritual,0.202,1
